Condition,mean,std,sem,count
A,0.33050055904724285,0.11149228261541216,0.026278983029108322,18
B,0.3321857973197312,0.09443655340309194,0.022258909101070614,18
C,0.2923179057969139,0.09449123227150086,0.022271797033950463,18
